Question,Answer,Link
when should i establish or update my plan (program) of study?,"It is not required to file a Plan of Study until applying for a CPT, filing a candidacy form, or being on probation. It is, however, helpful when seeking advising from the department or Graduate Advisor.",http://cmpe.sjsu.edu/content/masters-in-computer-engineering/advising/FAQ
can i transfer undergraduate units received at sjsu?,"You can transfer a graduate course taken when you were a SJSU undergraduate senior student, but there are several restrictions. The course must not be listed on your undergraduate major form and thus must not have been used to satisfy any requirements for the bachelor’s degree.",http://cmpe.sjsu.edu/content/masters-in-computer-engineering/advising/FAQ
can i transfer graduate credits from extension or OU courses of other universities?,No.,http://cmpe.sjsu.edu/content/masters-in-computer-engineering/advising/FAQ
can i transfer graduate credits from non-u.s. institutions?,No.,http://cmpe.sjsu.edu/content/masters-in-computer-engineering/advising/FAQ
"will a transfer course be counted as a core, specialization, or elective course?",It could be counted in place of any to which it is equivalent.,http://cmpe.sjsu.edu/content/masters-in-computer-engineering/advising/FAQ
when can i request a transfer of courses?,"After a semester begins, you can submit a Transfer Non-SJSU or Open University Course Request Form for each course you’d like to transfer. You must submit the request form with all supporting documents to the department office. The documents required include a syllabus from the course taken and an unofficial or official transcript showing the date taken, number of units/credits, and the grade earned. Minima of a “B” grade and 3 semester units/credits (or their equivalent) are required, and the course must have been taken recently enough that it will not expire by the seven-year limit at the point of graduating from the MS-CMPE program. The MS-CMPE Graduate Advisor will consult with the professors possessing the subject knowledge to decide whether to approve the request or not.",http://cmpe.sjsu.edu/content/masters-in-computer-engineering/advising/FAQ
can i take off-campus courses as part of my degree program?,Off-campus courses cannot be used for the on-campus MS-CMPE degree program.,http://cmpe.sjsu.edu/content/masters-in-computer-engineering/advising/FAQ
i am working in the silicon valley. is it feasible for me to attend classes?,Almost all single-section CMPE graduate courses are offered after 6:00 p.m.,http://cmpe.sjsu.edu/content/masters-in-computer-engineering/advising/FAQ
what are the differences between a master’s project and master’s thesis?,"A thesis has more rigid requirements for content and reporting style. A project in CMPE is a group affair over the course of two semesters. A thesis, a more in-depth and lengthy document, is an individual affair and often involves an additional semester or two of research, so it is advisable to start the research in the second semester after matriculation (or even the first). The submission date to the Office of Graduate Studies, which must approve theses but not projects, is relatively early in the semester, meaning half of the semester is lost in the thesis-preparation process. A project-track student must enroll in CMPE 295A and CMPE 295B in two consecutive semesters; a thesis-track student must enroll in CMPE 299A and CMPE 299B in two consecutive semesters. Summer enrollments are optional and depend on agreements with and availability of the supervising faculty member and other members of the research group.",http://cmpe.sjsu.edu/content/masters-in-computer-engineering/advising/FAQ
how can i find a project or thesis advisor and decide on my project or thesis topic?,"Your project/thesis topic must be closely related to your specialization. Your thesis or project advisor must be an SJSU Computer Engineering professor with expertise in the area of your specialization. To have a faculty member serve as your project or thesis supervisor, you must approach professors to inquire about joining their research team.",http://cmpe.sjsu.edu/content/masters-in-computer-engineering/advising/FAQ
will the classes i take to satisfy my admission conditions be counted as part of the required 9 units for students on an f-1 visa?,Yes,http://cmpe.sjsu.edu/content/masters-in-computer-engineering/advising/FAQ
will cmpe 298i for cpts be counted as part of the required 9 units for students on an f-1 visa?,Yes,http://cmpe.sjsu.edu/content/masters-in-computer-engineering/advising/FAQ
are there any requirements for taking cmpe 294?,The only requirement for taking CMPE 294 is to be a registered Computer Engineering Department graduate student.,http://cmpe.sjsu.edu/content/masters-in-computer-engineering/advising/FAQ
"if i take cmpe 294 and cmpe 295a concurrently, what is the consequence if i fail cmpe 294?","The completion of GWAR (e.g., receiving a passing grade in CMPE 294 or ENGR 200W) is required to obtain a passing grade in CMPE 295A or CMPE 299A. At the end of the semester, a student who has not completed GWAR will receive a failing CMPE 295A or CMPE 299A grade and must enroll in CMPE 295A or CMPE 299A again, restarting the project or thesis.",http://cmpe.sjsu.edu/content/masters-in-computer-engineering/advising/FAQ
"if i cannot complete cmpe 295b or cmpe 299b this semester, what should i do?","A student who is unable to complete CMPE 295B or CMPE 299B due to unforeseen circumstances beyond his or her control will be given a grade of “I” (Incomplete) or “RP” (Report in Progress) and will need to register for CMPE or UNVS 1290R for a one-semester extension. Please see the Graduate Advisor to arrange for a registration appointment for CMPE or UNVS 1290R, as it will not automatically be available on MySJSU. Documentation of the extenuating circumstance is needed to be given this privilege. A student who fails to complete the requirements of CMPE 295A or 299B without adequate documentation of circumstances beyond his or her control will have to repeat the class in a subsequent semester.",http://cmpe.sjsu.edu/content/masters-in-computer-engineering/advising/FAQ
"i’ve heard that the program is being changed to 33 units. when will that happen, and what are the consequences for new and existing students?","The conversion of the MS-CMPE (and MSSE) program to 33 units will occur with the start of the Fall 2020 semester. Those who entered the program before that time will not be affected at all; their degrees will still require 30 units plus satisfaction of the GWAR. New master’s students will also be required to take 30 units plus GWAR, but if they secure a waiver for GWAR, they will have to choose an elective to take to make up the units. If a waiver is obtained by existing students, the GWAR class is not taken and the units do not need to be made up, so no elective class would be required in place of the GWAR class. Unless a GWAR waiver is involved, there is no difference between the two master’s programs.",http://cmpe.sjsu.edu/content/masters-in-computer-engineering/advising/FAQ
i was admitted into a different department but want to transfer into the ms-cmpe program. can i do that?,The MS-CMPE program no longer takes transfers from other departments.,http://cmpe.sjsu.edu/content/masters-in-computer-engineering/advising/FAQ
the program requirements have changed since i started in the mscs program. which requirements do i need to follow in order to graduate?,"You may choose to follow the requirements that were in place when you started, or those that are in place when you file for candidacy.",http://www.sjsu.edu/cs/programs/mscs/faq/
how can i learn about the various policies and procedures that graduate students need to follow?,The Graduate Admissions and Program Evaluations office has several important resources on the Graduate Admissions and Program Evaluations web site for prospective and current graduate students,http://www.sjsu.edu/cs/programs/mscs/faq/
"i was admitted as a conditionally classified student and fulfilled my conditions a long time ago. why am i still listed as ""conditionally classified""?","There isn't anyone who is monitoring your admission conditions and completed courses on your behalf. YOU need to apply for ""fully classified status"". You will be ""fully classified"" after you have completed your conditions AND have applied for change of status. Pick up a form from the department office.",http://www.sjsu.edu/cs/programs/mscs/faq/
i have been accepted to the program but i won't be able to attend for another semester. can i defer my acceptance?,"Unfortunately, you will need to reapply. However, if you inform us that you were accepted in the prior semester, then you need not supply transcripts and letters of recommendations again. You will need to pay the application fee. If more than one semester has passed since your acceptance, you will need to reapply and resubmit all materials.",http://www.sjsu.edu/cs/programs/mscs/faq/
i have already been admitted to the mscs program and would like help in planning my program of study.,Please see a graduate advisor. Please visit the Computer Science Faculty Advisors page for more information about contacting an advisor.,http://www.sjsu.edu/cs/programs/mscs/faq/
i already wrote (a master's thesis|a best-selling novel|a letter to my mom). do i still have to take technical writing at sjsu?,"There are six ways to satisfy the Competency in Written English requirement; these are listed in the requirements document from the GAPE site. The last three require a meeting with the graduate coordinator, for the first three on your candidacy form you just indicate which one applies to you and GAPE can check it.",http://www.sjsu.edu/cs/programs/mscs/faq/
what happens if my gpa drops to 3.0 or less?,"If your cumulative GPA is less than 3.0, then you are on probation. If you are on probation, you cannot graduate.
You will be disqualified from the MSCS program if your semester GPA is not above 3.0.
Go to Policies and Procedures, then follow the links Graduate and Postbaccalaureate Information -> Graduate Academic Standards. Then read the articles Probation and Disqualification.
Once your cumulative GPA is again at least 3.0, you are no longer on probation. You should try very hard not to get onto probation in the first place. You should plan on getting a B+ or better in all your courses. If you do end up getting less than a B, make sure that you have another course to make up for it.",http://www.sjsu.edu/cs/programs/mscs/faq/
how do i register when i am on probation?,"1.Prepare a calculation of your current cumulative GPA to show to your advisor.
2.Select a set of (easy) courses for the coming semester and estimate the grade that you will get in each of them. (You are shooting for an A, of course.) Calculate the cumulative GPA that you will have at the end of the semester under your assumptions, so you can show that calculation to your advisor.
3.Read up on the probation and disqualification rules in the university calendar so that you know what will happen if you don't meet your goals. Be prepared to explain the rules to your advisor.
4.Get a form for lifting the probation hold from the department office.
5.Meet with your advisor. Explain to him how you got on probation and how you intend to get off probation.
6.Have your advisor sign the probation hold form and return it to the department office.",http://www.sjsu.edu/cs/programs/mscs/faq/
what happens if i get a d or f in a class?,"(1) You cannot use that class for graduation. You can repeat it or select another course. (2) Your GPA will suffer, and you'll probably go on probation.",http://www.sjsu.edu/cs/programs/mscs/faq/
"i was put on probation, and now i can't register for classes. what should i do?","Go to the department office and get a form for removing your registration hold, then go to your advisor to discuss your situation. Your advisor needs to sign the hold form.",http://www.sjsu.edu/cs/programs/mscs/faq/
i got disqualified from the program. what should i do?,"You can file a petition for reinstatement. Usually, such a petition involves your committing to take a selection of undergraduate (!) courses, to be approved by the graduate coordinator, that (a) more adequately prepares you for graduate study and (b) lifts your cumulative GPA. These courses do not count towards your graduate degree.",http://www.sjsu.edu/cs/programs/mscs/faq/
i would like to take a course from another department. what should i do?,"Before you register, fill out an evaluation form (available in the department office), and attach a syllabus for the course. The graduate coordinator will evaluate the syllabus, or ask a faculty member who is familiar with the subject matter to carry out the evaluation. Courses may be approved as option courses or elective courses, at the discretion of the graduate advisor.",http://www.sjsu.edu/cs/programs/mscs/faq/
when should i fill out my candidacy form?,"Candidacy forms will not be approved by GAPE until you have completed the GWAR requirement. The form serves as an agreement between you and GAPE of the form: If you pass these classes at the appropriate level then a degree will be awarded. So if you decide to take a different set of course you will need to file an update to your candidacy form. Usually, students fill out this form at a minimum one semester before they graduate. Deadlines can be found on the GAPE site.",http://www.sjsu.edu/cs/programs/mscs/faq/
when are your office hours?,Please see my web page at http://www.cs.sjsu.edu/faculty/pollett/ (check the hours for one of the courses I am teaching). You don't need an appointment--just show up during office hours.,http://www.sjsu.edu/cs/programs/mscs/faq/
how can i get codes for classroom door locks?,"For ENG rooms 247, 285/7 and 189 contact Sandy Jacobs, 408-924-3806 or sandra.jacobs@sjsu.edu.
For rooms maintained by a department, please contact the department’s administrative assistant.

For ENG labs 333, 335, 337, 339, 390-394, 407, and IS 103—all full-time faculty and staff have lab access codes issued to them by ECS. Your department admin should have a copy of those codes, or you can contact Scott Pham, 408-924-4020 or scott.pham@sjsu.edu. Part-time faculty and TAs who teach in these labs should contact Sandy Jacobs, 408-924-3806 or sandra.jacobs@sjsu.edu for a temporary access code.

Note: please tell the person you contact the reason for your room access request.",https://engineering.sjsu.edu/faculty-staff/faqs
which GE courses do i still have to take?,You can find which General Education courses you have completed at SJSU and which you still have to take at the Degree Progress Report on mySJSU.,http://www.sjsu.edu/aars/faq/academicplanning/
where can i get a four-semester plan?,You can get a four-semester plan by scheduling an appointment with a Major Advisor in your department. A General Education Advisor will assist you in completing your plans with appropriate GE selections.,http://www.sjsu.edu/aars/faq/academicplanning/
how do i change my major/minor?,Go to the major/minor department that you want to change your major/minor to and make an appointment with that department. You can get a Change of Major form by downloading the interactive form from the Office of the Registrar's Form webpage.,http://www.sjsu.edu/aars/faq/academicplanning/
how many classes can i take each semester?,"Full time freshmen are advised to take between 12-15 units their first semester. You may enroll in up to 18 units during your enrollment period. However, overloading yourself with classes is not an acceptable condition for a late drop.",http://www.sjsu.edu/aars/faq/academicplanning/
do i have to take pe in order to complete graduation requirements?,"Yes, you must complete two different Kinesiology courses unless you qualify to have the requirement waived. Visit the Kinesiology Department for all applicable waivers.",http://www.sjsu.edu/aars/faq/academicplanning/
how do i file for graduation?,You can download the Graduation Application from the Office of the Registrar's Form webpage. Please follow the directions carefully.,http://www.sjsu.edu/aars/faq/academicplanning/
"can i take a course from my technology major (mis, cmpe, cs, it) and use it in another technology major?",Consult your new major advisor for approval or double check the major worksheet provided by your department.,http://www.sjsu.edu/aars/faq/academicplanning/
how do i know if sjsu has received my transcript?,Students will be sent an email confirming receipt of their transcripts or they may contact Admissions.,http://www.sjsu.edu/aars/faq/evalandreg/
how can i find my grades or list of my grades?,Grades from spring 1991 to present are available online by going to http://my.sjsu.edu/,http://www.sjsu.edu/aars/faq/evalandreg/
how do i know if sjsu has accepted my classes from another csu or out of state school?,"If your course work is from a CSU, we will give you credit for similar categories. GE advisors in Academic Advising & Retention Services can give you an unofficial GE checklist that estimates which classes will be accepted.",http://www.sjsu.edu/aars/faq/evalandreg/
i filed for graduation and i have a question on my graduation worksheet.,Contact your evaluator and make an appointment. Academic Advising & Retention Services will provide you with contact information for your assigned evaluator.,http://www.sjsu.edu/aars/faq/evalandreg/
how do i register for classes?,"You can register online at http://my.sjsu.edu/, follow the step-by-step guide on how to enroll in (add) classes (PDF). Please visit our Tutorials website for a complete set of tutorials.",http://www.sjsu.edu/aars/faq/evalandreg/
what classes do i need to take?,Consult the SJSU catalog or an advisor in Academic Advising & Retention Services. A list of required General Education courses can be found in the schedule of classes.,http://www.sjsu.edu/aars/faq/generaled/
how can i get a list of ge courses?,A list of required General Education courses can be found in the schedule of classes.,http://www.sjsu.edu/aars/faq/generaled/
how can i get a degree progress report to see which ge classes i have already completed?,"Check your mySJSU account for a Degree Progress Report. See the IT Help Desk's webpage for information on how to access this report. If your transfer credit does not show up, make an appointment for an unofficial GE checklist at Academic Advising & Retention Services or wait for the Evaluation Department to send you an official one (which can take two semesters or longer).",http://www.sjsu.edu/aars/faq/generaled/
do i have to take the WST?,"Yes, only in rare cases has the WST been waived.",http://www.sjsu.edu/aars/faq/generaled/
what will happen to me if i don't pass the wst?,"You will not be able to take the SJSU Studies courses. If you fail the WST once, you must take English 100A or LLD 100A.Failure to pass the WST will delay your graduation. Workshops on the WST can be found at the Peer Connections webpage. You can only take your required 100W course after you pass the WST, and many majors require you to successfully complete your 100W requirement before taking any major upper division coursework.",http://www.sjsu.edu/aars/faq/generaled/
when should i take the wst?,You should take the WST immediately after successfully completing English 1B.,http://www.sjsu.edu/aars/faq/generaled/
what are sjsu studies courses?,SJSU Studies courses are additional GE classes you have to take after you pass the Writing Skills Test (WST). Students must have sixty units in order to take Advanced GE courses. Please check with your major department regarding the Area Z course that is appropriate for you.,http://www.sjsu.edu/aars/faq/generaled/
how do i know if my classes are transferable from a community college?,Consult the articulation website or speak with a General Education and/or Major advisor.,http://www.sjsu.edu/aars/faq/generaled/
if i have passed the wst and english 1b can i take sjsu studies courses even if i'm not a junior?,Registration for SJSU Studies courses is blocked for students who have completed less than 60 units. Students who have met ALL other published requirements for 100W/SJSU Studies may petition for the ability to register as upper division students on the first day of classes at the office of Undergraduate Studies.,http://www.sjsu.edu/aars/faq/generaled/
is a c- considered passing?,"Yes, however, if the course is a prerequisite or a major course you need to consult a major advisor for approval. Also, General Education courses in areas A1, A2, A3 and B4 must be completed with a C- grade or higher.",http://www.sjsu.edu/aars/faq/generaled/
how can i contact health center?,You can contact health center using the number - 408-924-6122,
how do i make an appoinment at health center?,You can make an appointment by calling - 408-924-6122 or schedule it online by logging in to https://shcpatient.sjsu.edu/login_directory.aspx,
what do i bring to health center?,Always bring your Tower card to Health Center if you have an appointment,
information about immunization,Go throught the website for detailed information on immunization - https://www.sjsu.edu/studenthealth/getting_care/Immunizations/immunization_req/index.html,https://www.sjsu.edu/studenthealth/getting_care/Immunizations/immunization_req/index.html
required immunization,Go throught the website for detailed information on immunization - https://www.sjsu.edu/studenthealth/getting_care/Immunizations/immunization_req/index.html,https://www.sjsu.edu/studenthealth/getting_care/Immunizations/immunization_req/index.html
submit proof of immunization,Submit the proof by logging in the health center portal - https://shcpatient.sjsu.edu/login_directory.aspx,https://shcpatient.sjsu.edu/login_directory.aspx
cold and flu information,You can obtain detailed information on website - https://www.sjsu.edu/studenthealth/cold_flu/index.html,https://www.sjsu.edu/studenthealth/cold_flu/index.html
after hours emergency care,Kindly refer this pdf file for after hours emergency care - https://www.sjsu.edu/studenthealth/docs/AFTER_HOURS.pdf,https://www.sjsu.edu/studenthealth/docs/AFTER_HOURS.pdf
pay for health center bill,You can pay here - https://commerce.cashnet.com/cashnetg/selfserve/EditItem.aspx?PC=HC-HLTHSVCS&ItemCount=1,https://commerce.cashnet.com/cashnetg/selfserve/EditItem.aspx?PC=HC-HLTHSVCS&ItemCount=1
"details, location about health care",You can find out basic details here - https://www.sjsu.edu/studenthealth/About/index.html,https://www.sjsu.edu/studenthealth/About/index.html
clinical staff,You can find out details about all medical Personnel here - https://www.sjsu.edu/studenthealth/About/index.html,https://www.sjsu.edu/studenthealth/About/index.html
health center timings,Mon-Thurs (9.30 am - 5.30 pm) and Friday (9.30 am - 4.30 pm),http://www.sjsu.edu/wellness/location/index.html
health center services,You can find out about all health center services here - https://www.sjsu.edu/studenthealth/clinical_services/index.html,https://www.sjsu.edu/studenthealth/clinical_services/index.html
fees details,https://www.sjsu.edu/studenthealth/Fees/index.html,https://www.sjsu.edu/studenthealth/Fees/index.html
health insurance,https://www.sjsu.edu/studenthealth/insurance/index.html,https://www.sjsu.edu/studenthealth/insurance/index.html
health insurance for F1 students,"International students must be enrolled in an Insurance plan before the beginning of the term. To buy insurance, go to https://jcbins.com/",https://jcbins.com/
medical records,https://www.sjsu.edu/studenthealth/forms/index.html,https://www.sjsu.edu/studenthealth/forms/index.html
on-campus wellness resources,http://www.sjsu.edu/wellness/onlinehealthresources/index.html,http://www.sjsu.edu/wellness/onlinehealthresources/index.html
register for fitness program,https://fitness.sjsu.edu/,https://fitness.sjsu.edu/
details about intramural sports,https://www.spartanrecreation.com/sports,https://www.spartanrecreation.com/sports
extra-curricular activities,http://www.sjsu.edu/spartanrec/programs/,http://www.sjsu.edu/spartanrec/programs/
club sports,https://sjsusports.com/,https://sjsusports.com/
outdoor adventures,https://www.spartanrecreation.com/outdoor,https://www.spartanrecreation.com/outdoor
on-campus employment for fitness center,https://www.applitrack.com/sjsu/onlineapp/,https://www.applitrack.com/sjsu/onlineapp/
contact spartan recreation staff,https://www.spartanrecreation.com/contact,https://www.spartanrecreation.com/contact
what do i do if i am unable to log into canvas?,"If you are unable to log into Canvas but have previously been able to, please make sure you are using the correct link and update any existing bookmarks to:https://sjsu.instructure.com. Also, try clearing your browser's cache by following these instructions and then try logging in. If you are still unable to login, then your password might have been expired. So, please use the Password Help page https://sjsuone.sjsu.edu/sjsuone/resetpassword/ to reset the password or contact IT helpdesk on 408-924-1530 to get help on resetting it.",
what do i do if i am unable to see a present course on my canvas dashboard?,"After logging in to Canvas, you can see the tiles of the courses on your dashboard. But, if you do not see a course on your dashboard, please click on 'Courses' menu on the left, then click 'All Courses' option. You will now see all the courses from the current enrollments. You can now click on the Star★ button next to the course name and attach it to your dashboard. On the other hand, if you want to remove a course tile from your dashboard, again go inside the 'All Courses' option and Unstar☆ the course.",
"i just registered for my course, why am i unable to access it on canvas?","Although you may have successfully enrolled in your course using MySJSU, it could take up to 24 hours for the class to appear on Canvas. Another likely scenario is that your instructor has not made the course available yet to students. If it has been longer than 24 hours without your course appearing in Canvas then you may want to contact your professor directly about making the course available in Canvas.",
how do i allow users to view my eportfolio?,Click on your profile in My ePortfolios and then click on ePortfolio settings on the left hand navigation menu. Check the Make it Public check box. Other users should now be able to view your ePortfolio.,
what to do when you do not see a completed course on your dashboard?,"Every single course on canvas has an end date set by the Instructors of that course. The course is meant to be concluded after the students give their finals. After that, the course will be removed from the dashboard and the access to the course will be revoked. This means, the students will no longer be able to access the course after completing it.",
how long can i access my course material from previous semesters on canvas?,You will have the access to your course material only till 30 days after the course has ended. You would need to request the course instructor incase you need the access to the course further.,
what do i do if i see a 'page not found' error but was previously accessible?,"This usually happens due to the presence of the old cache in your browser. Please clear your browser cache by following the steps given in the page Guide to clear the browser cache. If you still find a 'page not found' error when trying to access a file/assignment, then please contact the professor to notify this.",
how do i host or join a zoom meeting?,"To host a zoom meeting, go to https://sjsu.zoom.us and click 'Host' button. This will launch the zoom application that is installed on your computer (If the app is not yet installed, it will prompt to download the app) and the meeting will be started in the app. Every meeting has a unique 9 digit meeting ID with which the participants can join the meeting. On the other hand, if you want to join a meeting as a participant, go to https://sjsu.zoom.us, and you will be asked to enter the 'Meeting ID'. For more info on this, please visit our Zoom page.",
how can i schedule a zoom meeting?,"To schedule a Zoom meeting, go to https://sjsu.zoom.us and click 'Sign In'. Enter your credentials when prompted and you will see the your zoom profile page. Click 'Schedule a meeting' option. For more info, pleaes visit Zoom page",
where can i find my zoom recordings?,"First, log in to Zoom by visiting sjsu.zoom.us and locate your recordings by clicking on the My Recordings on the left-hand navigation menu.",
how to set up my zoom account for the first time?,Your zoom account is automatically created at the time of your SJSU account creation. All you have to do is to activate it by going to sjsu.zoom.us and clicking 'Sign in'. Enter your SJSUOne credentials when prompted and your account is all set.,
how much do corporate programs cost?,"Corporate programs cost $1000/unit. Classes are typically three units, for a total course cost of $3000. All corporate programs require completion of thirty-three units, for a total program cost of $33000. This does not include the price of books/other materials. Costs are subject to change based on University-mandated fee increases.",
how much do single degree programs cost?,"Single degree programs cost $850/unit. Classes are typically three units, for a total course cost of $2550. All single degree programs starting in Fall 2019 and Spring 2020 require completion of 30 units, for a total program cost of $25500. Programs starting in Fall 2020 and later require completion of 33 units for a total program cost of $28,050. This does not include the price of books/other materials. Costs are subject to change based on University-mandated fee increases.",
where are the off-campus courses held?,Classes are offered at a variety of locations within Silicon Valley. Check each program's individual page for location details.,
what does cohort-style mean?,"Cohort-style learning means that a group of students enroll in a degree program at the same time, take all of their classes in sequence, and graduate together after finishing their courses.",
i am a working professional in silicon valley. is it feasible for me to attend classes?,Yes. Most courses are offered after 6:00 p.m. and/or on Saturdays.,
i am not a working professional and do not have any work experience. is an off-campus program the right fit for me?,"For the past five years, approximately 60% to 70% of the students in our off-campus programs are working professionals, while the remaining 30% to 40% are full-time students. Our programs are designed for both working professionals and motivated full-time students.",
do the off-campus programs support f-1 student visa?,"At this time, the only off-campus programs that are open to international students and support F-1 visa requirements are: MSSE specialization in Data Science and MSSE specialization in Cloud and Mobile Computing.",
what is the minimum course load?,"Since this is a cohort program, all students take courses together throughout the program. A student will lose their active status if they do not take a class for two consecutive semesters. Students must file a Leave of Absence Form prior to the first semester of leave to avoid losing active status while on leave. Otherwise, the student must reapply to the university to regain active status.",
are classes conducted with online learning modality?,It depends on the program. Please check with your Program Specialist.,
can i transfer credits from other institutions or programs?,You can transfer up to 3 courses (9 units) from SJSU's Open University or another university towards your degree program. Transfer courses must be approved by the Academic Program Coordinator.,
"the institution of higher education that i attended only issues summary transcripts (mark sheets), but sjsu requires term-by-term transcripts. what should i do?","Since GAPE requires that all international applicants provide a WES (World Education Services) evaluation for any educational work taken outside of the U.S. & Canada, WES will submit the evaluation to SJSU in a format that is accepted by the university. Mark sheets/transcripts/degree certificates must be sent directly to WES for evaluation. SJSU must receive the academic record and the evaluation directly from WES.",
do i need to attend an advising appointment before enrolling in classes?,"If a student's overall GPA is 3.0 or higher, a pre-registration advising appointment is not necessary. A student with an overall GPA below 3.0 may be asked to seek the advice from the Academic Program Coordinator before enrolling classes.",
how do i enroll in a class?,"Prior to each semester, the Program Specialist will send students the specific course codes. With these course codes, you can enroll in the courses online via MySJSU. You must pay special attention to fee payment deadlines for off-campus programs.",
who do i contact with registration problems?,"If you cannot login to your MySJSU account or experience difficulties registering, please contact the Information Technology Support Services (ITS). If you need to manually add your course(s), please contact the Program Specialist who manages the specific program in which you are enrolled.",
"due to business travel or a family emergency, i missed a class last semester. what can i do?",You can take the same class with another cohort (if available). You must contact the Academic Program Coordinator of the program to arrange making up a class.,
how can i find out the textbook selection for a class?,The Program Specialist will send students the syllabus before each class begins.,
what is the best way to contact the graduate & extended studies' office?,"If you have a question regarding single or dual degree programs, please send an email to engineering-extended@sjsu.edu. If you have a question regarding corporate degree programs, please send an email to engineering-extended@sjsu.edu. If you have a question regarding main campus resources, please send an email to engineering-grad-success@sjsu.edu.",
where can i obtain more general information regarding graduate studies?,"The Office of Graduate Admissions & Program Evaluations performs the administrative and evaluative functions to maintain and implement the policies and procedures related to admissions, advancement to candidacy, graduation, and university level program requirements for all graduate students. A Graduate Student Success Coordinator and an International Graduate Student Advisor also support graduate students at the College of Engineering by providing college and university general information and resources. Please check our website for contact information.",
i received a c in a course. do i have to repeat the course?,"No. C is considered a passing grade for a graduate course (a C- is not). However, you must maintain a 3.0 GPA overall in order to avoid probation.",
what are on-probation and disqualification?,"Students with a GPA below 3.0 will be put on probation. If a student on probation continues the subsequent semester with a GPA below 3.0 that student will be disqualified. If you adept on probation or disqualified, you MUST consult with your program’s Academic Program Coordinator (Advisor) as soon as possible.",
when should i apply to graduate?,Please be sure that you have an *APPROVED* candidacy form on file PRIOR to submitting an application for graduation. Deadlines to apply for graduation.,
will my area of specialization be listed on my degree diploma or transcript?,"The diploma of a main campus or off-campus student only states the general degree name, e.g. Master of Science in Software Engineering. Per university policy, ""specialization"" is not included on diplomas or transcripts. However, a ""concentration"" is officially listed on both diplomas and transcripts. Check each program's individual page for degree type.",
will my diploma indicate that i have studied at an off-campus location?,"No, all off-campus degree programs offered by Engineering Extended Studies are conferred by San José State University, and thus receive the same diploma as main campus degree programs.",
are separate commencement ceremonies hosted for main campus and off-campus programs?,"The San Jose State University hosts a commencement ceremony each semester for the College of Engineering for both main and off-campus students. Both main and off-campus students will gather, photograph, march, and sit together with others earning the same degree during the commencement ceremony. Some corporate programs host a separate celebration ceremony for their employees, however students are still welcome to participate in the commencement ceremony.",
my employer is asking for degree verification. where do i request this document?,Degree Verification Letters may be requested from the University's Office of the Registrar.,
is a statement of purpose required? should i send it directly to the college of engineering?,"You must include a statement of purpose directly in the online Cal State Apply application, identifying which off-campus degree program you are applying for. (Ex: Cybersecurity, Lam Research, Battery Technologies, etc.) It will NOT be used for admissions purposes. The maximum is 500 words, but we advise that you limit it to one paragraph",
are gres required?,GRE is not required,
does the engineering extended studies department consider gres?,You may report GRE scores on your application and they will be used as a reference,
are letters of recommendation required?,No,
does the engineering extended studies department admit students in spring semester?,Only a few of our programs accept applications for Spring semester. The majority of our cohorts begin in Fall. Check each program’s individual page for admission timelines,
"my application status on mysjsu says ""referred"". what does that mean?","The ""referred"" status means that the University has completed the initial review to determine if you meet the minimum CSU Eligibility requirements and has then forwarded your application to your program’s department for the department admission review process. After a thorough evaluation of each completed application, the Program Admission Committee submits the admission recommendation to the University. The University then makes the final admission decision and notifies the applicant. Please wait for the notification by the University regarding the admission decision. The program is not authorized to provide evaluation results to the applicants. Meanwhile, you can view your application status via MySJSU",
my application says i’m missing documents. can i send pending documents in the form of softcopy by scanning and emailing them to the college of engineering?,"No. All documents must be submitted directly to Graduate Admissions and Program Evaluations (GAPE). Documents sent directly to the College of Engineering will not be accommodated. Items such as the residency questionnaire, a copy of Green Card or Visa, Declaration of Finance, or a copy of your current passport may be scanned and converted into PDF format. Send the email with attachments to sa-adm-wrkflow@sjsu.edu. Include your nine-digit SJSU ID and your name in the body of the email message. Please note, transcripts and mark sheets will not be accepted if sent via email",
where should i send my transcripts?,"FOR APPLICANTS WITH FOREIGN DEGREES: SJSU requires that all applicants with foreign coursework provide a WES (World Education Services) evaluation. To keep costs at a minimum, SJSU accepts the document-by-document evaluation (Basic or ICAP). SJSU prefers and requests the document-by-document evaluation, however if SJSU receives a course-by-course evaluation, we will accept this format as well. Mark sheets/transcripts must be sent directly to WES for evaluation. SJSU must receive the academic record and the evaluation directly from WES. A complete WES evaluation is preferred. DO NOT send foreign transcripts to SJSU as they will not be considered for your application. After you submit your documents to WES, please DO NOT send a copy of your documents to the College of Engineering nor the University as we will receive the completed evaluation directly from WES.",
how do i submit additional items assigned on my checklist?,"By checking your application status, you may see additional items for request. These include items such as the residency questionnaire, a copy of Green Card or Visa, Declaration of Finance, or a copy of your current passport. All documents must be submitted directly to Graduate Admissions and Program Evaluations (GAPE). All documents must be legible and converted into PDF format. Include your nine-digit SJSU ID and your name in the body of the email message. Send the email with attachments to sa-adm-wrkflow@sjsu.edu. Please note, transcripts and mark sheets will not be accepted if sent via email",
